,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
0,0,3,10,496,46,0.0,3.8009750000000007,0.0,5.039750000000002,1.8905499999999997,5.23375,7927.0,3.2238249999999997,6.3832249999999995,1.6567250000000002
1,11,3,10,496,46,1.0,2.4627250000000016,26.0,1.1293500000000003,1.0099250000000006,0.8308249999999999,2973.0,1.8209499999999994,2.676600000000001,0.417925
2,0,7,10,496,46,2.0,2.4627250000000016,26.0,1.1293500000000003,1.0099250000000006,0.8308249999999999,2973.0,1.8209499999999994,2.676600000000001,0.417925
3,0,3,9,496,46,3.0,2.4627250000000016,26.0,1.1293500000000003,1.0099250000000006,0.8308249999999999,2973.0,1.8209499999999994,2.676600000000001,0.417925
4,0,3,10,189,46,4.0,2.4627250000000016,26.0,1.1293500000000003,1.0099250000000006,0.8308249999999999,2973.0,1.8209499999999994,2.676600000000001,0.417925
5,0,3,10,496,92,5.0,2.4627250000000016,26.0,1.1293500000000003,1.0099250000000006,0.8308249999999999,2973.0,1.8209499999999994,2.676600000000001,0.417925
6,11,7,9,189,92,6.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
7,10,8,5,246,96,7.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
8,1,8,5,246,96,8.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
9,10,2,5,246,96,9.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
10,10,8,5,246,96,10.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
11,10,8,5,439,96,11.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
12,10,8,5,246,42,12.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
13,1,2,5,439,42,13.0,1.0696249999999998,27.0,3.5571749999999995,2.7214000000000014,2.5075,3677.0,1.3532249999999997,2.258674999999999,1.2487749999999993
14,15,1,7,371,71,14.0,2.2935000000000008,34.0,0.91045,0.0,1.7363250000000001,2513.0,0.36817499999999986,2.532400000000001,0.1293500000000001
15,6,1,7,371,71,15.0,2.2935000000000008,34.0,0.91045,0.0,1.7363250000000001,2513.0,0.36817499999999986,2.532400000000001,0.1293500000000001
16,15,9,7,371,71,16.0,0.44774999999999987,13.0,6.328375000000001,4.512475,6.87565,6655.0,2.3283250000000004,3.7661249999999997,0.0
17,15,1,2,371,71,17.0,3.0496749999999997,43.0,0.0,0.0,0.3084499999999998,2324.0,0.2587000000000002,2.8556499999999994,0.0
18,15,1,7,314,71,18.0,2.0447749999999982,38.0,0.47759999999999997,0.0,0.970125,2209.0,0.9403000000000001,3.104500000000001,0.0
19,15,1,7,371,17,19.0,2.0348750000000004,37.0,0.0,0.0,0.029849999999999984,1850.0,0.07959999999999999,4.084650000000002,0.0
20,6,9,2,314,17,20.0,2.0447749999999982,38.0,0.47759999999999997,0.0,0.970125,2209.0,0.9403000000000001,3.104500000000001,0.0
21,5,6,3,121,21,21.0,2.0348750000000004,37.0,0.0,0.0,0.029849999999999984,1850.0,0.07959999999999999,4.084650000000002,0.0
22,16,6,3,121,21,22.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
23,5,4,3,121,21,23.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
24,5,6,7,121,21,24.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
25,5,6,3,64,21,25.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
26,5,6,3,121,67,26.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
27,16,4,7,64,67,27.0,1.4725999999999997,37.0,2.159174999999999,1.1940250000000001,2.233775000000001,3191.0,1.2238500000000005,2.3283250000000013,0.6417999999999998
28,8,2,4,58,8,28.0,1.4725999999999997,37.0,2.159174999999999,1.1940250000000001,2.233775000000001,3191.0,1.2238500000000005,2.3283250000000013,0.6417999999999998
29,14,2,4,58,8,29.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
30,8,10,4,58,8,30.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
31,8,2,1,58,8,31.0,0.7513250000000004,10.0,5.671775000000002,2.0696250000000003,3.338274999999998,5325.0,2.2039249999999995,4.686525000000002,0.6766000000000001
32,8,2,4,251,8,32.0,1.4725999999999997,37.0,2.159174999999999,1.1940250000000001,2.233775000000001,3191.0,1.2238500000000005,2.3283250000000013,0.6417999999999998
33,8,2,4,58,29,33.0,1.4725999999999997,37.0,2.159174999999999,1.1940250000000001,2.233775000000001,3191.0,1.2238500000000005,2.3283250000000013,0.6417999999999998
