,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
0,0,3,10,496,46,0.0,5.149274999999997,0.0,5.477599999999998,1.7164250000000003,4.034800000000001,7927.0,3.7065,5.611999999999998,1.3084750000000003
1,11,3,10,496,46,1.0,1.701525,31.0,1.7313250000000002,0.6367999999999999,0.7313500000000001,2661.0,1.800975,1.9601749999999996,0.29355000000000003
2,0,7,10,496,46,2.0,1.701525,31.0,1.7313250000000002,0.6367999999999999,0.7313500000000001,2661.0,1.800975,1.9601749999999996,0.29355000000000003
3,0,3,9,496,46,3.0,1.701525,31.0,1.7313250000000002,0.6367999999999999,0.7313500000000001,2661.0,1.800975,1.9601749999999996,0.29355000000000003
4,0,3,10,189,46,4.0,1.701525,31.0,1.7313250000000002,0.6367999999999999,0.7313500000000001,2661.0,1.800975,1.9601749999999996,0.29355000000000003
5,0,3,10,496,92,5.0,1.701525,31.0,1.7313250000000002,0.6367999999999999,0.7313500000000001,2661.0,1.800975,1.9601749999999996,0.29355000000000003
6,11,7,9,189,92,6.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
7,10,8,5,246,96,7.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
8,1,8,5,246,96,8.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
9,10,2,5,246,96,9.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
10,10,8,5,246,96,10.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
11,10,8,5,439,96,11.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
12,10,8,5,246,42,12.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
13,1,2,5,439,42,13.0,0.5422749999999998,24.0,3.0646250000000004,1.4079749999999998,5.805825,4335.0,0.761175,2.1443249999999994,0.98015
14,15,1,7,371,71,14.0,1.8358750000000001,34.0,0.8507250000000001,0.11442500000000004,1.0348,2552.0,2.0100499999999992,2.621924999999998,0.0
15,6,1,7,371,71,15.0,1.8358750000000001,34.0,0.8507250000000001,0.11442500000000004,1.0348,2552.0,2.0100499999999992,2.621924999999998,0.0
16,15,9,7,371,71,16.0,0.37317499999999987,5.0,5.159175000000002,6.1941250000000005,2.9601249999999997,6090.0,1.9750999999999999,4.064724999999998,1.79605
17,15,1,2,371,71,17.0,2.4477250000000006,35.0,0.7810750000000003,0.0,1.253724999999999,2730.0,1.5920500000000002,2.6766249999999974,0.029849999999999984
18,15,1,7,314,71,18.0,2.5671749999999998,35.0,0.004974999999999999,0.054725,0.7064499999999999,2672.0,1.30845,3.5821250000000004,0.184075
19,15,1,7,371,17,19.0,1.582125,35.0,0.004974999999999999,0.0,0.029849999999999984,1828.0,0.0,4.129350000000002,0.0
20,6,9,2,314,17,20.0,2.5671749999999998,35.0,0.004974999999999999,0.054725,0.7064499999999999,2672.0,1.30845,3.5821250000000004,0.184075
21,5,6,3,121,21,21.0,1.582125,35.0,0.004974999999999999,0.0,0.029849999999999984,1828.0,0.0,4.129350000000002,0.0
22,16,6,3,121,21,22.0,0.92045,8.0,6.228875000000001,2.994975,6.815925000000001,6615.0,1.945275000000001,4.114449999999999,1.3581749999999997
