,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
0,0,3,10,496,46,0.0,3.5771250000000006,0.0,6.9453249999999995,2.636775,3.0597000000000003,8217.0,3.9303249999999985,6.925350000000002,1.2438249999999997
1,11,3,10,496,46,1.0,1.0696250000000003,30.0,2.328399999999999,0.6218749999999996,0.85075,2701.0,1.6666999999999998,2.467700000000001,0.05472500000000002
2,0,7,10,496,46,2.0,1.0696250000000003,30.0,2.328399999999999,0.6218749999999996,0.85075,2701.0,1.6666999999999998,2.467700000000001,0.05472500000000002
3,0,3,9,496,46,3.0,1.0696250000000003,30.0,2.328399999999999,0.6218749999999996,0.85075,2701.0,1.6666999999999998,2.467700000000001,0.05472500000000002
4,0,3,10,189,46,4.0,1.0696250000000003,30.0,2.328399999999999,0.6218749999999996,0.85075,2701.0,1.6666999999999998,2.467700000000001,0.05472500000000002
5,0,3,10,496,92,5.0,1.0696250000000003,30.0,2.328399999999999,0.6218749999999996,0.85075,2701.0,1.6666999999999998,2.467700000000001,0.05472500000000002
6,11,7,9,189,92,6.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
7,10,8,5,246,96,7.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
8,1,8,5,246,96,8.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
9,10,2,5,246,96,9.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
10,10,8,5,246,96,10.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
11,10,8,5,439,96,11.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
12,10,8,5,246,42,12.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
13,1,2,5,439,42,13.0,0.7512499999999999,24.0,3.378125,2.308400000000001,6.1145249999999995,4955.0,1.6069499999999997,1.7911000000000001,1.4975
14,15,1,7,371,71,14.0,2.4129250000000004,36.0,0.363175,0.1791,1.3681250000000005,2365.0,0.8457499999999998,2.905474999999999,0.0
15,6,1,7,371,71,15.0,2.4129250000000004,36.0,0.363175,0.1791,1.3681250000000005,2365.0,0.8457499999999998,2.905474999999999,0.0
16,15,9,7,371,71,16.0,1.2039750000000005,10.0,5.706474999999997,3.492525,5.612074999999997,5777.0,0.6517499999999999,4.064575,1.0298249999999993
17,15,1,2,371,71,17.0,2.353250000000002,39.0,0.7562250000000005,0.38805000000000006,0.761175,2931.0,1.5422749999999998,2.995,0.0
18,15,1,7,314,71,18.0,2.472625000000001,39.0,0.6666500000000001,0.029850000000000012,0.611925,2198.0,0.8756249999999998,2.7860499999999995,0.0
19,15,1,7,371,17,19.0,2.3930000000000025,30.0,0.5173999999999999,0.0,0.32337499999999986,1642.0,0.14427500000000004,2.666675000000002,0.0
20,6,9,2,314,17,20.0,2.472625000000001,39.0,0.6666500000000001,0.029850000000000012,0.611925,2198.0,0.8756249999999998,2.7860499999999995,0.0
21,5,6,3,121,21,21.0,2.3930000000000025,30.0,0.5173999999999999,0.0,0.32337499999999986,1642.0,0.14427500000000004,2.666675000000002,0.0
22,16,6,3,121,21,22.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
23,5,4,3,121,21,23.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
24,5,6,7,121,21,24.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
25,5,6,3,64,21,25.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
26,5,6,3,121,67,26.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
27,16,4,7,64,67,27.0,6.109574999999998,20.0,1.323375,2.1343249999999983,1.8955250000000001,4340.0,1.78605,3.2538250000000004,0.701475
28,8,2,4,58,8,28.0,6.109574999999998,20.0,1.323375,2.1343249999999983,1.8955250000000001,4340.0,1.78605,3.2538250000000004,0.701475
29,14,2,4,58,8,29.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
30,8,10,4,58,8,30.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
31,8,2,1,58,8,31.0,0.79605,7.0,4.984974999999999,2.044775,3.676699999999999,5584.0,2.7015000000000025,5.044725000000001,1.2637000000000003
32,8,2,4,251,8,32.0,6.109574999999998,20.0,1.323375,2.1343249999999983,1.8955250000000001,4340.0,1.78605,3.2538250000000004,0.701475
33,8,2,4,58,29,33.0,6.109574999999998,20.0,1.323375,2.1343249999999983,1.8955250000000001,4340.0,1.78605,3.2538250000000004,0.701475
34,14,10,1,251,29,34.0,6.109574999999998,20.0,1.323375,2.1343249999999983,1.8955250000000001,4340.0,1.78605,3.2538250000000004,0.701475
35,18,7,8,308,58,35.0,0.6268499999999995,23.0,3.10945,2.6816250000000013,3.0448499999999994,3912.0,1.2537750000000003,3.2735999999999996,1.2885749999999996
36,4,7,8,308,58,36.0,0.6268499999999995,23.0,3.10945,2.6816250000000013,3.0448499999999994,3912.0,1.2537750000000003,3.2735999999999996,1.2885749999999996
37,18,5,8,308,58,37.0,0.9353249999999999,29.0,1.800975,1.218925,2.029824999999998,3065.0,1.50245,2.776074999999999,0.751225
38,18,7,6,308,58,38.0,0.343275,18.0,4.467699999999997,2.1740999999999993,3.0249,4465.0,1.7513250000000002,3.0946000000000002,1.3582000000000003
39,18,7,8,1,58,39.0,2.2885000000000004,35.0,0.721375,0.07462500000000008,0.8358249999999998,2044.0,0.751275,1.8657500000000002,0.0
40,18,7,8,308,79,40.0,0.7363750000000003,23.0,4.114449999999999,2.308425,4.0995500000000025,3763.0,1.36325,1.830875,0.5323249999999998
41,4,5,6,1,79,41.0,2.2885000000000004,35.0,0.721375,0.07462500000000008,0.8358249999999998,2044.0,0.751275,1.8657500000000002,0.0
42,13,4,2,183,83,42.0,0.7363750000000003,23.0,4.114449999999999,2.308425,4.0995500000000025,3763.0,1.36325,1.830875,0.5323249999999998
43,9,4,2,183,83,43.0,0.7363750000000003,23.0,4.114449999999999,2.308425,4.0995500000000025,3763.0,1.36325,1.830875,0.5323249999999998
44,13,8,2,183,83,44.0,0.7363750000000003,23.0,4.114449999999999,2.308425,4.0995500000000025,3763.0,1.36325,1.830875,0.5323249999999998
45,13,4,8,183,83,45.0,0.7363750000000003,23.0,4.114449999999999,2.308425,4.0995500000000025,3763.0,1.36325,1.830875,0.5323249999999998
